nr_hidden_layers,hidden_layer_size,learning_rate,batch_size,activation_function,mse
3,90,0.001,full,Sigmoid(),610.1167663574219
3,90,0.01,full,ReLU(),18066.846657733917
3,90,0.01,full,Tanh(),13.920566363334656
3,90,0.01,full,Sigmoid(),67.68617626190185
3,90,0.1,full,ReLU(),80.59687312602996
3,90,0.1,full,Tanh(),17.25395146846771
3,90,0.1,full,Sigmoid(),15.401463170051574
3,100,0.001,full,ReLU(),69634.75063674926
3,100,0.001,full,Tanh(),421.4995016479492
3,100,0.001,full,Sigmoid(),598.8650518798828
3,100,0.01,full,ReLU(),19657.179819259643
3,100,0.01,full,Tanh(),11.948583917617798
3,100,0.01,full,Sigmoid(),45.83326955795288
3,100,0.1,full,ReLU(),73.05682690620422
3,100,0.1,full,Tanh(),13.103803005218506
3,100,0.1,full,Sigmoid(),16.403013167381285
3,110,0.001,full,ReLU(),49652.1862902832
3,110,0.001,full,Tanh(),402.8551348876953
3,110,0.001,full,Sigmoid(),584.3144653320312
3,110,0.01,full,ReLU(),17584.471870956422
3,110,0.01,full,Tanh(),14.40224778175354
3,110,0.01,full,Sigmoid(),30.836707849502563
3,110,0.1,full,ReLU(),64.24296592712402
3,110,0.1,full,Tanh(),18.376572170257568
3,110,0.1,full,Sigmoid(),19.656050462722778
3,120,0.001,full,ReLU(),68894.72118591309
3,120,0.001,full,Tanh(),378.88459075927733
3,120,0.001,full,Sigmoid(),566.8747775268555
3,120,0.01,full,ReLU(),16092.963864517213
3,120,0.01,full,Tanh(),19.030261716842652
3,120,0.01,full,Sigmoid(),21.883433380126952
3,120,0.1,full,ReLU(),78.75611513137818
3,120,0.1,full,Tanh(),24.93243766784668
3,120,0.1,full,Sigmoid(),20.818716773986818
3,130,0.001,full,ReLU(),85570.05411270141
3,130,0.001,full,Tanh(),359.7444064331055
3,130,0.001,full,Sigmoid(),545.2923086547852
3,130,0.01,full,ReLU(),12718.170725364685
3,130,0.01,full,Tanh(),23.751224555969237
3,130,0.01,full,Sigmoid(),15.945784740447998
3,130,0.1,full,ReLU(),72.4767654132843
3,130,0.1,full,Tanh(),24.284210472106935
3,130,0.1,full,Sigmoid(),19.96560401916504
3,140,0.001,full,ReLU(),107110.74051818848
3,140,0.001,full,Tanh(),343.65069061279297
3,140,0.001,full,Sigmoid(),529.1483163452149
3,140,0.01,full,ReLU(),12935.26605178833
3,140,0.01,full,Tanh(),27.387997131347657
3,140,0.01,full,Sigmoid(),13.050580768585204
3,140,0.1,full,ReLU(),64.4683097076416
3,140,0.1,full,Tanh(),17.806976318359375
3,140,0.1,full,Sigmoid(),16.189047427177428
3,150,0.001,full,ReLU(),88485.58993103028
3,150,0.001,full,Tanh(),323.29552337646487
3,150,0.001,full,Sigmoid(),519.7098379516601
3,150,0.01,full,ReLU(),15119.315304603577
3,150,0.01,full,Tanh(),29.32360818862915
3,150,0.01,full,Sigmoid(),13.244282388687134
3,150,0.1,full,ReLU(),63.05398368835449
3,150,0.1,full,Tanh(),14.345863599777221
3,150,0.1,full,Sigmoid(),15.534786477088929
3,160,0.001,full,ReLU(),133305.7784792328
3,160,0.001,full,Tanh(),306.26580200195315
3,160,0.001,full,Sigmoid(),505.5750427246094
3,160,0.01,full,ReLU(),10133.762950572967
3,160,0.01,full,Tanh(),29.421104850769044
3,160,0.01,full,Sigmoid(),14.116746211051941
3,160,0.1,full,ReLU(),20543.515586214067
3,160,0.1,full,Tanh(),16.49593029499054
3,160,0.1,full,Sigmoid(),15.612100901603698
3,170,0.001,full,ReLU(),129975.2441962433
3,170,0.001,full,Tanh(),290.822854309082
3,170,0.001,full,Sigmoid(),489.89225006103516
3,170,0.01,full,ReLU(),10897.60309551239
3,170,0.01,full,Tanh(),28.00277425765991
3,170,0.01,full,Sigmoid(),15.754390859603882
3,170,0.1,full,ReLU(),104367.08402476787
3,170,0.1,full,Tanh(),20.61636483192444
3,170,0.1,full,Sigmoid(),18.04211817741394
3,180,0.001,full,ReLU(),175576.71418746948
3,180,0.001,full,Tanh(),275.82638809204104
3,180,0.001,full,Sigmoid(),476.14418701171877
3,180,0.01,full,ReLU(),9905.805334587098
3,180,0.01,full,Tanh(),25.134011459350585
3,180,0.01,full,Sigmoid(),18.799684538841248
3,180,0.1,full,ReLU(),60.793226237297056
3,180,0.1,full,Tanh(),23.368470306396485
3,180,0.1,full,Sigmoid(),18.8983723115921
3,190,0.001,full,ReLU(),191513.48349952698
3,190,0.001,full,Tanh(),259.88962646484373
3,190,0.001,full,Sigmoid(),463.6248373413086
3,190,0.01,full,ReLU(),8953.848518676758
3,190,0.01,full,Tanh(),22.461238975524903
3,190,0.01,full,Sigmoid(),21.257387380599976
3,190,0.1,full,ReLU(),2070897.8138309289
3,190,0.1,full,Tanh(),23.258236122131347
3,190,0.1,full,Sigmoid(),19.60935980796814
3,200,0.001,full,ReLU(),210530.9067918396
3,200,0.001,full,Tanh(),247.48299911499024
3,200,0.001,full,Sigmoid(),451.4566677856445
3,200,0.01,full,ReLU(),8493.176688270569
3,200,0.01,full,Tanh(),18.785961942672728
3,200,0.01,full,Sigmoid(),23.666208343505858
3,200,0.1,full,ReLU(),52.963448972702025
3,200,0.1,full,Tanh(),17.692091045379637
3,200,0.1,full,Sigmoid(),17.018650751113892
4,10,0.001,full,ReLU(),12356.802679100037
4,10,0.001,full,Tanh(),732.2161474609375
4,10,0.001,full,Sigmoid(),747.7479663085937
4,10,0.01,full,ReLU(),573.0543032455445
4,10,0.01,full,Tanh(),540.8037722778321
4,10,0.01,full,Sigmoid(),620.5600482177734
4,10,0.1,full,ReLU(),407.778535990715
4,10,0.1,full,Tanh(),12.091401147842408
4,10,0.1,full,Sigmoid(),15.741094946861267
4,20,0.001,full,ReLU(),3940.2058472824096
4,20,0.001,full,Tanh(),691.1388122558594
4,20,0.001,full,Sigmoid(),733.7937103271485
4,20,0.01,full,ReLU(),543.9119450473786
4,20,0.01,full,Tanh(),391.49016815185547
4,20,0.01,full,Sigmoid(),493.87642486572264
4,20,0.1,full,ReLU(),259.0298299074173
4,20,0.1,full,Tanh(),31.405228862762453
4,20,0.1,full,Sigmoid(),30.26800064086914
4,30,0.001,full,ReLU(),3108.2969482040407
4,30,0.001,full,Tanh(),645.9581268310546
4,30,0.001,full,Sigmoid(),716.2944946289062
