config,accuracy,r2_score
"(2, 20, 0.1, 128, ReLU())",0.07277778073007034,0.5424837370713552
"(2, 20, 0.1, 128, Tanh())",0.0007222222629934549,0.5989921987056732
"(2, 20, 0.1, 128, Sigmoid())",0.0,0.5649887290265825
"(2, 30, 0.001, 32, ReLU())",0.0,0.49456508292092216
"(2, 30, 0.001, 32, Tanh())",0.0,0.5140672425429026
"(2, 30, 0.001, 32, Sigmoid())",0.0,0.38207267059220207
"(2, 30, 0.001, 64, ReLU())",0.0,0.3978641761673821
"(2, 30, 0.001, 64, Tanh())",0.0,0.4516674511962467
"(2, 30, 0.001, 64, Sigmoid())",0.0,0.27327750126520794
"(2, 30, 0.001, 128, ReLU())",0.0,0.29344194796350265
"(2, 30, 0.001, 128, Tanh())",0.0,0.34143127004305523
"(2, 30, 0.001, 128, Sigmoid())",0.0,0.1913019319375356
"(2, 30, 0.01, 32, ReLU())",0.014888889628410753,0.6008935934967465
"(2, 30, 0.01, 32, Tanh())",0.0,0.6241957346598307
"(2, 30, 0.01, 32, Sigmoid())",0.0,0.5763646331098344
"(2, 30, 0.01, 64, ReLU())",0.007611111492022044,0.584359218676885
"(2, 30, 0.01, 64, Tanh())",0.0,0.6022074951065911
"(2, 30, 0.01, 64, Sigmoid())",0.0,0.5541742344697317
"(2, 30, 0.01, 128, ReLU())",0.0052222223991217715,0.5264075166649289
"(2, 30, 0.01, 128, Tanh())",0.0,0.5610584417978922
"(2, 30, 0.01, 128, Sigmoid())",0.0,0.5116850137710571
"(2, 30, 0.1, 32, ReLU())",0.18605556491012168,0.26679062843322754
"(2, 30, 0.1, 32, Tanh())",0.003055555681284103,0.5290477772553762
"(2, 30, 0.1, 32, Sigmoid())",0.00033333335563333496,0.6203019022941589
"(2, 30, 0.1, 64, ReLU())",0.12083333824476641,0.5409199628565047
"(2, 30, 0.1, 64, Tanh())",0.0,0.5862769318951501
"(2, 30, 0.1, 64, Sigmoid())",0.0,0.6598635017871857
"(2, 30, 0.1, 128, ReLU())",0.07894444884085614,0.5118178394105699
"(2, 30, 0.1, 128, Tanh())",0.0,0.5855335195859274
"(2, 30, 0.1, 128, Sigmoid())",0.0,0.5598006016678281
"(2, 40, 0.001, 32, ReLU())",0.0,0.525263249874115
"(2, 40, 0.001, 32, Tanh())",0.0,0.5321055716938443
"(2, 40, 0.001, 32, Sigmoid())",0.0,0.3947681287924449
"(2, 40, 0.001, 64, ReLU())",0.0,0.4446233808994293
"(2, 40, 0.001, 64, Tanh())",0.0,0.48730769753456116
"(2, 40, 0.001, 64, Sigmoid())",0.0,0.29848524928092957
"(2, 40, 0.001, 128, ReLU())",0.0,0.33485443393389386
"(2, 40, 0.001, 128, Tanh())",0.0,0.37885191705491805
"(2, 40, 0.001, 128, Sigmoid())",0.0,0.2098113629553053
"(2, 40, 0.01, 32, ReLU())",0.026111111879193533,0.6011348995897505
"(2, 40, 0.01, 32, Tanh())",0.0,0.6211632258362241
"(2, 40, 0.01, 32, Sigmoid())",0.0,0.5613229407204522
"(2, 40, 0.01, 64, ReLU())",0.010000000533182174,0.5805406736003028
"(2, 40, 0.01, 64, Tanh())",0.0,0.6175343559847938
"(2, 40, 0.01, 64, Sigmoid())",0.0,0.5415829751226637
"(2, 40, 0.01, 128, ReLU())",0.0038333334183941283,0.5575333899921842
"(2, 40, 0.01, 128, Tanh())",0.0,0.5926093492243025
"(2, 40, 0.01, 128, Sigmoid())",0.0,0.4929027689827813
"(2, 40, 0.1, 32, ReLU())",0.1678888974323248,0.22676369878980848
"(2, 40, 0.1, 32, Tanh())",0.003277777894658761,0.48939106861750287
"(2, 40, 0.1, 32, Sigmoid())",0.001111111163886057,0.6064974400732253
"(2, 40, 0.1, 64, ReLU())",0.13566667126724496,0.5003728071848551
"(2, 40, 0.1, 64, Tanh())",0.0009444444828356305,0.5832622150580088
"(2, 40, 0.1, 64, Sigmoid())",0.0001111111163886057,0.6193713082207574
"(2, 40, 0.1, 128, ReLU())",0.10588889430639231,0.01498512758149041
"(2, 40, 0.1, 128, Tanh())",0.0007222222759284907,0.544104191992018
"(2, 40, 0.1, 128, Sigmoid())",0.0,0.5301072895526886
"(2, 50, 0.001, 32, ReLU())",0.0,0.5417653520901998
