corrupt_found,axis,optimal,random,method,dataset,noise_rate,model
0.48,0.23809523809523808,1.0,0.23809523809523808,DVRL(rl_epochs=2000),pol,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.62,0.2857142857142857,1.0,0.2857142857142857,DVRL(rl_epochs=2000),pol,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.72,0.3333333333333333,1.0,0.3333333333333333,DVRL(rl_epochs=2000),pol,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.78,0.38095238095238093,1.0,0.38095238095238093,DVRL(rl_epochs=2000),pol,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.82,0.42857142857142855,1.0,0.42857142857142855,DVRL(rl_epochs=2000),pol,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.82,0.47619047619047616,1.0,0.47619047619047616,DVRL(rl_epochs=2000),pol,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.84,0.5238095238095238,1.0,0.5238095238095238,DVRL(rl_epochs=2000),pol,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.88,0.5714285714285714,1.0,0.5714285714285714,DVRL(rl_epochs=2000),pol,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.88,0.6190476190476191,1.0,0.6190476190476191,DVRL(rl_epochs=2000),pol,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.88,0.6666666666666666,1.0,0.6666666666666666,DVRL(rl_epochs=2000),pol,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.94,0.7142857142857143,1.0,0.7142857142857143,DVRL(rl_epochs=2000),pol,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.94,0.7619047619047619,1.0,0.7619047619047619,DVRL(rl_epochs=2000),pol,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.94,0.8095238095238095,1.0,0.8095238095238095,DVRL(rl_epochs=2000),pol,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.98,0.8571428571428571,1.0,0.8571428571428571,DVRL(rl_epochs=2000),pol,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
1.0,0.9047619047619048,1.0,0.9047619047619048,DVRL(rl_epochs=2000),pol,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
1.0,0.9523809523809523,1.0,0.9523809523809523,DVRL(rl_epochs=2000),pol,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.0,0.0,0.0,0.0,KNNShapley(k_neighbors=100),pol,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.02,0.047619047619047616,0.9523809523809523,0.047619047619047616,KNNShapley(k_neighbors=100),pol,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.08,0.09523809523809523,1.0,0.09523809523809523,KNNShapley(k_neighbors=100),pol,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.12,0.14285714285714285,1.0,0.14285714285714285,KNNShapley(k_neighbors=100),pol,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.14,0.19047619047619047,1.0,0.19047619047619047,KNNShapley(k_neighbors=100),pol,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.22,0.23809523809523808,1.0,0.23809523809523808,KNNShapley(k_neighbors=100),pol,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.26,0.2857142857142857,1.0,0.2857142857142857,KNNShapley(k_neighbors=100),pol,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.5,0.3333333333333333,1.0,0.3333333333333333,KNNShapley(k_neighbors=100),pol,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.74,0.38095238095238093,1.0,0.38095238095238093,KNNShapley(k_neighbors=100),pol,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.74,0.42857142857142855,1.0,0.42857142857142855,KNNShapley(k_neighbors=100),pol,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.74,0.47619047619047616,1.0,0.47619047619047616,KNNShapley(k_neighbors=100),pol,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.76,0.5238095238095238,1.0,0.5238095238095238,KNNShapley(k_neighbors=100),pol,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.76,0.5714285714285714,1.0,0.5714285714285714,KNNShapley(k_neighbors=100),pol,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.76,0.6190476190476191,1.0,0.6190476190476191,KNNShapley(k_neighbors=100),pol,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.8,0.6666666666666666,1.0,0.6666666666666666,KNNShapley(k_neighbors=100),pol,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.8,0.7142857142857143,1.0,0.7142857142857143,KNNShapley(k_neighbors=100),pol,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.82,0.7619047619047619,1.0,0.7619047619047619,KNNShapley(k_neighbors=100),pol,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.84,0.8095238095238095,1.0,0.8095238095238095,KNNShapley(k_neighbors=100),pol,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.86,0.8571428571428571,1.0,0.8571428571428571,KNNShapley(k_neighbors=100),pol,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.92,0.9047619047619048,1.0,0.9047619047619048,KNNShapley(k_neighbors=100),pol,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
1.0,0.9523809523809523,1.0,0.9523809523809523,KNNShapley(k_neighbors=100),pol,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.0,0.0,0.0,0.0,LavaEvaluator(),pol,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.04,0.047619047619047616,0.9523809523809523,0.047619047619047616,LavaEvaluator(),pol,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.12,0.09523809523809523,1.0,0.09523809523809523,LavaEvaluator(),pol,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.18,0.14285714285714285,1.0,0.14285714285714285,LavaEvaluator(),pol,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.28,0.19047619047619047,1.0,0.19047619047619047,LavaEvaluator(),pol,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.32,0.23809523809523808,1.0,0.23809523809523808,LavaEvaluator(),pol,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
